Timestamp,what's your age ,what's your degree ,what is your year of studies ,what is your major ,  How many hours do you sleep on average per night?  ,   How many hours do you spend on screens per day (excluding academic work)?  ,  Do you engage in regular physical activity ? ,"  How many caffeinated drinks (coffee, tea, energy drinks) do you consume per day?  ",  How many hours do you study per week outside of class?  ,do u have exams in the next two weeks ,  How would you rate your current academic workload?  ,"   On a scale from 1 to 10, how would you rate your current stress level?  "
26/02/2026 23:08:06,23,cycle d'ingénieur,4th,Healthcare it,7–8 hours,2–4 hours,no,2,Less than 10 hours,no,low,6
26/02/2026 23:12:06,22,cycle d'ingénieur,4th,Biomedical engineering ,Less than 5 hours,4–6 hours,yes,2,Less than 10 hours,no,low,8
26/02/2026 23:16:11,25,cycle d'ingénieur,5th,IT,Less than 5 hours,More than 6 hours,no,0,Less than 10 hours,no,high,7
26/02/2026 23:17:38,22,préparatoire intégrée,2nd,AI,5–6 hours,2–4 hours,no,0,Less than 10 hours,yes,moderate,7
26/02/2026 23:20:00,22,cycle d'ingénieur,1st,Telecommunications engineering ,7–8 hours,More than 6 hours,no,1,10–20 hours,yes,moderate,4
26/02/2026 23:24:42,21,licence,3rd,Network security,7–8 hours,More than 6 hours,no,1,Less than 10 hours,no,high,3
26/02/2026 23:26:10,22,cycle d'ingénieur,4th,Biomedical engineering ,5–6 hours,2–4 hours,no,2,10–20 hours,yes,moderate,6
26/02/2026 23:34:47,18,pharmacie,1st,Pharmacie,7–8 hours,4–6 hours,yes,0,Less than 10 hours,yes,moderate,5
26/02/2026 23:39:01,23,mastère,2nd,Master pro en systeme de telecommunication et réseaux ,More than 8 hours,2–4 hours,no,2,10–20 hours,no,high,5
26/02/2026 23:39:21,20,licence,1st,LAW ,7–8 hours,4–6 hours,yes,1,10–20 hours,no,moderate,4
26/02/2026 23:46:28,22,cycle d'ingénieur,2nd,Medical informatics ,7–8 hours,4–6 hours,no,0,Less than 10 hours,no,high,6
26/02/2026 23:50:34,19,licence,1st,Biotechnology ,Less than 5 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,10
27/02/2026 00:01:43,26,cycle d'ingénieur,5th,Mécatronique ,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,no,high,6
27/02/2026 00:10:04,24,mastère,2nd,Business law master ,7–8 hours,4–6 hours,yes,1,20–30 hours,no,moderate,8
